Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Birthday,Age,Instagram_username,Political_party
A. Donald McEachin,RepMcEachin,2017-01-03T00:00:00Z,8.16181E+17,male,Germany,1961-10-10T00:00:00Z,59,repmceachin,Democratic Party
Aaron Michlewitz,RepMichlewitz,2010-06-27T00:00:00Z,160246973,male,United States of America,1978-01-01T00:00:00Z,42,,Democratic Party
Aaron Peskin,AaronPeskin,2010-11-13T00:00:00Z,215369273,male,United States of America,1964-06-17T00:00:00Z,56,apeskin52,Democratic Party
Aaron Peña,AaronPena,2007-10-31T00:00:00Z,9843332,male,United States of America,1959-06-08T00:00:00Z,61,,Republican Party
Aaron Schock,aaronschock,2009-03-12T00:00:00Z,23951197,male,United States of America,1981-05-28T00:00:00Z,39,aaronschock,Republican Party
Abby Finkenauer,Abby4Iowa,2013-03-12T00:00:00Z,1262017122,female,United States of America,1988-12-27T00:00:00Z,31,abby4iowa,Democratic Party
Abigail Spanberger,SpanbergerVA07,2018-12-28T00:00:00Z,1.07877E+18,female,United States of America,1978-08-01T00:00:00Z,42,repspanberger,Democratic Party
Abigail Spanberger,RepSpanberger,2018-12-28T00:00:00Z,1.07877E+18,female,United States of America,1978-08-01T00:00:00Z,42,repspanberger,Democratic Party
Abigail Spanberger,SpanbergerVA07,2017-07-06T00:00:00Z,8.82959E+17,female,United States of America,1978-08-01T00:00:00Z,42,repspanberger,Democratic Party
Abigail Spanberger,RepSpanberger,2017-07-06T00:00:00Z,8.82959E+17,female,United States of America,1978-08-01T00:00:00Z,42,repspanberger,Democratic Party
Adam Kinzinger,repkinzinger,2010-11-24T00:00:00Z,219429281,male,United States of America,1978-02-27T00:00:00Z,42,,Republican Party
Adam Putnam,adamputnam,2009-06-19T00:00:00Z,48809111,male,United States of America,1974-07-31T00:00:00Z,46,,Republican Party
Adam Schiff,RepAdamSchiff,2009-04-07T00:00:00Z,29501253,male,United States of America,1960-06-22T00:00:00Z,60,repadamschiff,Democratic Party
Adam Smith,RepAdamSmith,2009-07-21T00:00:00Z,58928690,male,United States of America,1965-06-15T00:00:00Z,55,,Democratic Party
Adam Zemke,adamzemke,,,male,United States of America,1983-06-04T00:00:00Z,37,,Democratic Party
Adlai Stevenson III,AdlaiEStevenson,2010-11-30T00:00:00Z,221507760,male,United States of America,1930-10-10T00:00:00Z,90,,Democratic Party
Adrian Fenty,adrianfenty,2013-08-04T00:00:00Z,1644427472,male,United States of America,1970-12-06T00:00:00Z,49,,Democratic Party
