ID,ideology,leadership,state,name,description
400013,0.212711095,0.63515331,WI,Tammy Baldwin,rank-and-file Democrat
412251,0.919987557,0.527673599,WY,John Barrasso,conservative Republican
412330,0.315450725,0.399706402,CO,Michael Bennet,rank-and-file Democrat
400032,0.98928309,0.408703947,TN,Marsha Blackburn,conservative Republican
412490,0.110274886,0.635917476,CT,Richard Blumenthal,progressive Democrat
400034,0.793502171,0.532006746,MO,Roy Blunt,rank-and-file Republican
412598,0.096007522,0.726480441,NJ,Cory Booker,progressive Democratic leader
400040,0.887056536,0.482091035,AR,John Boozman,rank-and-file Republican
412839,0.970909464,0.46331487,IN,Mike Braun,conservative Republican
400050,0.135065067,0.754738465,OH,Sherrod Brown,progressive Democratic leader
400054,0.693963617,0.456586537,NC,Richard Burr,centrist Republican
300018,0.294491379,0.440728427,WA,Maria Cantwell,rank-and-file Democrat
400061,0.759035946,0.365111378,WV,Shelley Moore Capito,rank-and-file Republican
400064,0.251284422,0.895767048,MD,Ben Cardin,moderate Democratic leader
300019,0.325462354,0.396301266,DE,Tom Carper,moderate Democratic follower
412246,0.262065464,0.695058704,PA,Bob Casey,rank-and-file Democrat
412269,0.80822876,0.499512947,LA,Bill Cassidy,rank-and-file Republican
300025,0.565294549,0.703261462,ME,Susan Collins,centrist Republican leader
412390,0.400652858,0.717446442,DE,Chris Coons,centrist Democratic leader
300027,0.90834127,0.892243125,TX,John Cornyn,moderate Republican leader
412681,0.269953872,0.540667242,NV,Catherine Cortez Masto,rank-and-file Democrat
412508,0.977794924,0.397929569,AR,Tom Cotton,conservative Republican
412555,0.96601916,0.249207294,ND,Kevin Cramer,lonley conservative Republican follower
300030,0.874580472,0.53629551,ID,Mike Crapo,rank-and-file Republican
412573,1,0.596727883,TX,Ted Cruz,conservative Republican leader
412549,0.926527096,0.563902203,MT,Steve Daines,conservative Republican
412533,0.213369526,0.553051458,IL,Tammy Duckworth,rank-and-file Democrat
300038,0.14802922,0.772697943,IL,Dick Durbin,progressive Democratic leader
412667,0.945640415,0.598320218,IA,Joni Ernst,conservative Republican leader
300043,0.210054268,0.713166418,CA,Dianne Feinstein,rank-and-file Democrat
412556,0.817489872,0.317812749,NE,Deb Fischer,rank-and-file Republican
412223,0.0738288,0.654716246,NY,Kirsten Gillibrand,progressive Democrat
300047,0.69735279,0.679985452,SC,Lindsey Graham,centrist Republican leader
300048,0.756242163,0.817596029,IA,Chick Grassley,moderate Republican leader
456798,0.768520607,0.210304334,TN,Bill Hagerty,moderate Republican follower
412678,0.105286491,0.431514517,CA,Kamala Harris,progressive Democrat
412680,0.396985036,0.359287682,NH,Maggie Hassan,centrist Democratic follower
412840,0.856764835,0.199805276,MO,Josh Hawley,moderate Republican follower
412281,0.286004812,0.397653575,NM,Martin Heinrich,moderate Democratic follower
